name,id,source,placement_rule,pct_new_chunks_hosting_anchor,expected_per_1000x1000_blocks,average_spacing,biome_terrain_restrictions,sample,relative_std_error,note
Brine Lantern Underport,cat:brine_lantern_underport,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.000006733,0.0003,"about 1 per 61,700 x 61,700 blocks","mode underwater, tier 4, exclusive; biomes: Brine Lantern Mire; needs >= 90% of room samples below y62","956,483 legacy + 6,801,654 expansion regions (1,000k square); 263 sites",6.17%,
Gilded Hush Casino Palace,cat:gilded_hush_palace,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001572,0.0006,"about 1 per 40,400 x 40,400 blocks","mode surface, tier 4, exclusive; biomes: Gilded Hush","956,483 legacy + 6,801,654 expansion regions (1,000k square); 614 sites",4.04%,
Carousel Wastes Midway Academy,cat:carousel_midway_school,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001477,0.0006,"about 1 per 41,600 x 41,600 blocks","mode surface, tier 2, exclusive; biomes: Carousel Wastes","956,483 legacy + 6,801,654 expansion regions (1,000k square); 577 sites",4.16%,
Hollow Crown Borough Citadel,cat:hollow_crown_citadel,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 116x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001393,0.0005,"about 1 per 42,900 x 42,900 blocks","mode surface, tier 5, exclusive; biomes: Hollow Crown Borough","956,483 legacy + 6,801,654 expansion regions (1,000k square); 544 sites",4.29%,
Rootbound Sanctuary Cloister Keep,cat:rootbound_cloister,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001597,0.0006,"about 1 per 40,000 x 40,000 blocks","mode surface, tier 3, exclusive; biomes: Rootbound Sanctuary","956,483 legacy + 6,801,654 expansion regions (1,000k square); 624 sites",4.00%,
Leechwater Lantern Depths,cat:leechwater_sunken_city,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001001,0.0004,"about 1 per 50,600 x 50,600 blocks","mode underwater, tier 5, exclusive; biomes: Leechwater Depths; needs >= 90% of room samples below y62","956,483 legacy + 6,801,654 expansion regions (1,000k square); 391 sites",5.06%,
Cinderlake Triple Kiln Towers,cat:cinderlake_kiln_towers,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001843,0.0007,"about 1 per 37,300 x 37,300 blocks","mode surface, tier 5, exclusive; biomes: Cinderlake Shelf","956,483 legacy + 6,801,654 expansion regions (1,000k square); 720 sites",3.73%,
Forgotten Monarch Shore Fort,cat:monarch_shore_fort,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001749,0.0007,"about 1 per 38,300 x 38,300 blocks","mode surface, tier 4, exclusive; biomes: Forgotten Monarch Shore","956,483 legacy + 6,801,654 expansion regions (1,000k square); 683 sites",3.83%,
Blackgutter Suspended Borough,cat:blackgutter_suspended_borough,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001869,0.0007,"about 1 per 37,000 x 37,000 blocks","mode surface, tier 4, exclusive; biomes: Blackgutter Chasm","956,483 legacy + 6,801,654 expansion regions (1,000k square); 730 sites",3.70%,
Frostcrown Star Bastion,cat:frostcrown_star_bastion,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 116x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001692,0.0007,"about 1 per 38,900 x 38,900 blocks","mode surface, tier 5, exclusive; biomes: Frostcrown Ramparts","956,483 legacy + 6,801,654 expansion regions (1,000k square); 661 sites",3.89%,
Ringfall Ashen Ring Capital,cat:ringfall_ashen_capital,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 152x236 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001224,0.0005,"about 1 per 45,700 x 45,700 blocks","mode surface, tier 5, exclusive; biomes: Ringfall Cinders","956,483 legacy + 6,801,654 expansion regions (1,000k square); 478 sites",4.57%,
Last Ember Cathedral and Crypts,cat:last_ember_cathedral,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x224 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001610,0.0006,"about 1 per 39,900 x 39,900 blocks","mode surface, tier 5, exclusive; biomes: Cathedral of the Last Ember","956,483 legacy + 6,801,654 expansion regions (1,000k square); 629 sites",3.99%,
Drowned Oath Submerged Cloister,cat:drowned_oath_subcloister,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.000004813,0.0002,"about 1 per 72,900 x 72,900 blocks","mode underwater, tier 4, exclusive; biomes: Drowned Oath Fen; needs >= 90% of room samples below y62","956,483 legacy + 6,801,654 expansion regions (1,000k square); 188 sites",7.29%,
Listening Pines Cabin,cat:listening_pines_cabin,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 32x128 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002166,0.0008,"about 1 per 34,400 x 34,400 blocks","mode surface, tier 1, exclusive; biomes: Cabin of the Listening Pines","956,483 legacy + 6,801,654 expansion regions (1,000k square); 846 sites",3.44%,
Bloodroot Lumber Baron's Manor,cat:bloodroot_lumber_manor,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001685,0.0007,"about 1 per 39,000 x 39,000 blocks","mode surface, tier 3, exclusive; biomes: Bloodroot Timberland","956,483 legacy + 6,801,654 expansion regions (1,000k square); 658 sites",3.90%,
Boomtown Midnight Main Street,cat:boomtown_main_street,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001541,0.0006,"about 1 per 40,800 x 40,800 blocks","mode surface, tier 3, exclusive; biomes: Boomtown After Midnight","956,483 legacy + 6,801,654 expansion regions (1,000k square); 602 sites",4.08%,
Deadward Asylum Panopticon,cat:deadward_panopticon,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 116x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001290,0.0005,"about 1 per 44,500 x 44,500 blocks","mode surface, tier 4, exclusive; biomes: Deadward Asylum","956,483 legacy + 6,801,654 expansion regions (1,000k square); 504 sites",4.45%,
Bastion of the Unburied Siege Castle,cat:unburied_siege_castle,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001582,0.0006,"about 1 per 40,200 x 40,200 blocks","mode surface, tier 5, exclusive; biomes: Bastion of the Unburied","956,483 legacy + 6,801,654 expansion regions (1,000k square); 618 sites",4.02%,
Possessed Orchard Four-Barn Farm,cat:possessed_orchard_farm,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001493,0.0006,"about 1 per 41,400 x 41,400 blocks","mode surface, tier 2, exclusive; biomes: Possessed Orchard","956,483 legacy + 6,801,654 expansion regions (1,000k square); 583 sites",4.14%,
Endless Night Telephone Boulevard,cat:endless_night_phone_boulevard,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 116x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001531,0.0006,"about 1 per 40,900 x 40,900 blocks","mode surface, tier 3, exclusive; biomes: Endless Night Boulevard","956,483 legacy + 6,801,654 expansion regions (1,000k square); 598 sites",4.09%,
Mirrorward Loop Hospital,cat:mirrorward_loop_hospital,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001423,0.0006,"about 1 per 42,400 x 42,400 blocks","mode buried, tier 4, exclusive; biomes: Mirrorward Thicket","956,483 legacy + 6,801,654 expansion regions (1,000k square); 556 sites",4.24%,
Kandarian Hunting Grounds Lodge Keep,cat:kandarian_hunt_lodge,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001523,0.0006,"about 1 per 41,000 x 41,000 blocks","mode surface, tier 4, exclusive; biomes: Kandarian Hunting Grounds","956,483 legacy + 6,801,654 expansion regions (1,000k square); 595 sites",4.10%,
Grinning Hollow Folded Funhouse,cat:grinning_hollow_funhouse,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001613,0.0006,"about 1 per 39,800 x 39,800 blocks","mode surface, tier 3, exclusive; biomes: Grinning Hollow","956,483 legacy + 6,801,654 expansion regions (1,000k square); 630 sites",3.98%,
Limbo Mourning Fields Academy,cat:limbo_mourning_academy,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001500,0.0006,"about 1 per 41,300 x 41,300 blocks","mode surface, tier 3, exclusive; biomes: I - Limbo: Mourning Fields","956,483 legacy + 6,801,654 expansion regions (1,000k square); 586 sites",4.13%,
Lust Unceasing Gale Spires,cat:lust_gale_spires,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001889,0.0007,"about 1 per 36,800 x 36,800 blocks","mode surface, tier 5, exclusive; biomes: II - Lust: The Unceasing Gale","956,483 legacy + 6,801,654 expansion regions (1,000k square); 738 sites",3.68%,
Gluttony Carrion Slough Gutworks,cat:gluttony_carrion_drain,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001997,0.0008,"about 1 per 35,800 x 35,800 blocks","mode buried, tier 4, exclusive; biomes: III - Gluttony: Carrion Slough","956,483 legacy + 6,801,654 expansion regions (1,000k square); 780 sites",3.58%,
Greed Burdened Quarry Vault,cat:greed_quarry_vault,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001521,0.0006,"about 1 per 41,000 x 41,000 blocks","mode buried, tier 5, exclusive; biomes: IV - Greed: The Burdened Quarry","956,483 legacy + 6,801,654 expansion regions (1,000k square); 594 sites",4.10%,
Wrath Styx Underbridge City,cat:wrath_styx_underbridge,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001201,0.0005,"about 1 per 46,200 x 46,200 blocks","mode underwater, tier 5, exclusive; biomes: V - Wrath: Styx Blackwater; needs >= 90% of room samples below y62","956,483 legacy + 6,801,654 expansion regions (1,000k square); 469 sites",4.62%,
Heresy Sepulcher Ember Catacombs,cat:heresy_ember_catacombs,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001439,0.0006,"about 1 per 42,200 x 42,200 blocks","mode buried, tier 4, exclusive; biomes: VI - Heresy: Sepulcher of Embers","956,483 legacy + 6,801,654 expansion regions (1,000k square); 562 sites",4.22%,
Violence Thornblood Inquisition Towers,cat:violence_thornblood_towers,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001610,0.0006,"about 1 per 39,900 x 39,900 blocks","mode surface, tier 5, exclusive; biomes: VII - Violence: Thornblood Reach","956,483 legacy + 6,801,654 expansion regions (1,000k square); 629 sites",3.99%,
Fraud Malebolge Ten Trench Underworks,cat:fraud_malebolge_underworks,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 140x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001651,0.0006,"about 1 per 39,400 x 39,400 blocks","mode buried, tier 5, exclusive; biomes: VIII - Fraud: Malebolge Trenches","956,483 legacy + 6,801,654 expansion regions (1,000k square); 645 sites",3.94%,
Treachery Cocytus Icebound Vault,cat:treachery_cocytus_vault,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001654,0.0006,"about 1 per 39,300 x 39,300 blocks","mode buried, tier 5, exclusive; biomes: IX - Treachery: Cocytus","956,483 legacy + 6,801,654 expansion regions (1,000k square); 646 sites",3.93%,
Coastal Bell House Crescent,cat:coastal_bell_houses,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x176 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00003075,0.0012,"about 1 per 28,900 x 28,900 blocks","mode surface, tier 1; biomes: Ashveil Coast, Drowned Borough, Penitent Spillway, Signalwreck Coast, Blackreed Marsh, Sunken Convoy, Brine Lantern Mire, Leechwater Depths, Drowned Oath Fen, V - Wrath: Styx Blackwater","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,201 sites",2.89%,
Pine Switchback Homes,cat:pine_switchback_homes,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x176 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002120,0.0008,"about 1 per 34,800 x 34,800 blocks","mode surface, tier 1; biomes: Red Blossom Hollow, Sanguine Exclusion Forest, Bitter Orchard, Vaultroot Gardens, Rootbound Sanctuary, Cabin of the Listening Pines, Bloodroot Timberland, Possessed Orchard, Kandarian Hunting Grounds","956,483 legacy + 6,801,654 expansion regions (1,000k square); 828 sites",3.48%,
Ash Workers' Hamlet,cat:ash_workers_hamlet,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x176 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002168,0.0008,"about 1 per 34,400 x 34,400 blocks","mode surface, tier 1; biomes: Cinder Hospice, Oxide Railgrave, Coalbreath Ridges, Brotherhood Slagfields, Carousel Wastes, Cinderlake Shelf, Ringfall Cinders, Boomtown After Midnight, Grinning Hollow, VI - Heresy: Sepulcher of Embers","956,483 legacy + 6,801,654 expansion regions (1,000k square); 847 sites",3.44%,
Dust Courtyard Homes,cat:dust_courtyard_homes,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001810,0.0007,"about 1 per 37,600 x 37,600 blocks","mode surface, tier 1; biomes: Abandoned Cordon, Bleached Expanse, Capitol Ossuary, Neon Dust Basin, Shelterfall Terraces, Iron Convoy Barrens, Forgotten Monarch Shore, Bastion of the Unburied, I - Limbo: Mourning Fields, IV - Greed: The Burdened Quarry","956,483 legacy + 6,801,654 expansion regions (1,000k square); 707 sites",3.76%,
Whisper Row Houses,cat:whisper_row_houses,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x176 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00004012,0.0016,"about 1 per 25,300 x 25,300 blocks","mode surface, tier 2; biomes: Rustwater Ward, Gutterglass Schoolgrounds, Tenement Wound, Palimpsest Vaultlands, Bloomfall Tenements, Gravity Scar, Glass Reactor, Gilded Hush, Hollow Crown Borough, Blackgutter Chasm, Cathedral of the Last Ember, Deadward Asylum, Endless Night Boulevard, Mirrorward Thicket, II - Lust: The Unceasing Gale, VII - Violence: Thornblood Reach, VIII - Fraud: Malebolge Trenches","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,567 sites",2.53%,
Ice Watch Hamlet,cat:ice_watch_hamlet,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x176 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001157,0.0005,"about 1 per 47,000 x 47,000 blocks","mode surface, tier 2; biomes: Whiteout Reservoir, Viridian Blastlands, Frostcrown Ramparts, III - Gluttony: Carrion Slough, IX - Treachery: Cocytus","956,483 legacy + 6,801,654 expansion regions (1,000k square); 452 sites",4.70%,
Broken Delta Cargo Plane,cat:broken_cargo_delta,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001654,0.0006,"about 1 per 39,300 x 39,300 blocks","mode surface, tier 2; biomes: Abandoned Cordon, Dead Array, Oxide Railgrave, Bleached Expanse, Viridian Blastlands, Iron Convoy Barrens, Cinderlake Shelf, Bastion of the Unburied, IV - Greed: The Burdened Quarry","956,483 legacy + 6,801,654 expansion regions (1,000k square); 646 sites",3.93%,
Split-Fuselage Passenger Wreck,cat:split_airliner,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002140,0.0008,"about 1 per 34,600 x 34,600 blocks","mode surface, tier 3; biomes: Ashveil Coast, Drowned Borough, Signalwreck Coast, Sunken Convoy, Capitol Ossuary, Neon Dust Basin, Brine Lantern Mire, Forgotten Monarch Shore, V - Wrath: Styx Blackwater","956,483 legacy + 6,801,654 expansion regions (1,000k square); 836 sites",3.46%,
Forest Medical Plane and Field Ward,cat:forest_medical_plane,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002340,0.0009,"about 1 per 33,100 x 33,100 blocks","mode surface, tier 2; biomes: Cinder Hospice, Red Blossom Hollow, Sanguine Exclusion Forest, Bitter Orchard, Vaultroot Gardens, Rootbound Sanctuary, Cabin of the Listening Pines, Bloodroot Timberland, Possessed Orchard, Kandarian Hunting Grounds","956,483 legacy + 6,801,654 expansion regions (1,000k square); 914 sites",3.31%,
Polar Survey Wreck and Relay,cat:polar_survey_plane,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.000007271,0.0003,"about 1 per 59,300 x 59,300 blocks","mode surface, tier 3; biomes: Whiteout Reservoir, Frostcrown Ramparts, II - Lust: The Unceasing Gale, IX - Treachery: Cocytus","956,483 legacy + 6,801,654 expansion regions (1,000k square); 284 sites",5.93%,
Switchboard Town and Wire Lines,cat:switchboard_town,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x176 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001567,0.0006,"about 1 per 40,400 x 40,400 blocks","mode surface, tier 2; biomes: Rustwater Ward, Gutterglass Schoolgrounds, Bloomfall Tenements, Abandoned Cordon, Oxide Railgrave, Shelterfall Terraces, Iron Convoy Barrens, Boomtown After Midnight, Endless Night Boulevard","956,483 legacy + 6,801,654 expansion regions (1,000k square); 612 sites",4.04%,
Ridge Repeater Chain,cat:ridge_repeater_chain,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 128x176 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002389,0.0009,"about 1 per 32,700 x 32,700 blocks","mode surface, tier 3; biomes: Tenement Wound, Signalwreck Coast, Dead Array, Gravity Scar, Glass Reactor, Coalbreath Ridges, Brotherhood Slagfields, Cinderlake Shelf, Blackgutter Chasm, II - Lust: The Unceasing Gale, VIII - Fraud: Malebolge Trenches","956,483 legacy + 6,801,654 expansion regions (1,000k square); 933 sites",3.27%,
